Gene stable ID,Transcript stable ID,Gene description,Gene name,Transcript name
ENSMUSG00000064336,ENSMUST00000082387,mitochondrially encoded tRNA phenylalanine [Source:MGI Symbol;Acc:MGI:102487],mt-Tf,mt-Tf-201
ENSMUSG00000064337,ENSMUST00000082388,mitochondrially encoded 12S rRNA [Source:MGI Symbol;Acc:MGI:102493],mt-Rnr1,mt-Rnr1-201
ENSMUSG00000064338,ENSMUST00000082389,mitochondrially encoded tRNA valine [Source:MGI Symbol;Acc:MGI:102472],mt-Tv,mt-Tv-201
ENSMUSG00000064339,ENSMUST00000082390,mitochondrially encoded 16S rRNA [Source:MGI Symbol;Acc:MGI:102492],mt-Rnr2,mt-Rnr2-201
ENSMUSG00000064340,ENSMUST00000082391,mitochondrially encoded tRNA leucine 1 [Source:MGI Symbol;Acc:MGI:102482],mt-Tl1,mt-Tl1-201
ENSMUSG00000064341,ENSMUST00000082392,mitochondrially encoded NADH dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:101787],mt-Nd1,mt-Nd1-201
ENSMUSG00000064342,ENSMUST00000082393,mitochondrially encoded tRNA isoleucine [Source:MGI Symbol;Acc:MGI:102484],mt-Ti,mt-Ti-201
ENSMUSG00000064343,ENSMUST00000082394,mitochondrially encoded tRNA glutamine [Source:MGI Symbol;Acc:MGI:102477],mt-Tq,mt-Tq-201
ENSMUSG00000064344,ENSMUST00000082395,mitochondrially encoded tRNA methionine [Source:MGI Symbol;Acc:MGI:102480],mt-Tm,mt-Tm-201
ENSMUSG00000064345,ENSMUST00000082396,mitochondrially encoded NADH dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:102500],mt-Nd2,mt-Nd2-201
ENSMUSG00000064346,ENSMUST00000082397,mitochondrially encoded tRNA tryptophan [Source:MGI Symbol;Acc:MGI:102471],mt-Tw,mt-Tw-201
ENSMUSG00000064347,ENSMUST00000082398,mitochondrially encoded tRNA alanine [Source:MGI Symbol;Acc:MGI:102491],mt-Ta,mt-Ta-201
